,Date,Open,High,Low,Close,Volume,company
0,2000-01-03,83.09459686279297,86.01419830322266,82.02780151367188,85.59310150146484,3567878,tata
0,2000-01-03,37.09579849243164,39.31370162963867,37.09579849243164,39.31370162963867,28531559,reliance
1,2000-01-04,40.360198974609375,42.46099853515625,39.25130081176758,42.46099853515625,60744659,reliance
1,2000-01-04,84.27369689941406,85.90190124511719,80.31539916992188,84.66670227050781,2769856,tata
2,2000-01-05,81.18569946289062,91.46019744873048,81.18569946289062,87.8949966430664,6839939,tata
2,2000-01-05,40.08689880371094,44.967899322509766,40.08689880371094,44.1245002746582,171798476,reliance
3,2000-01-06,89.24250030517578,94.94120025634766,89.24250030517578,94.46399688720705,4560422,tata
3,2000-01-06,45.13970184326172,46.96720123291016,45.13970184326172,45.97529983520508,100403390,reliance
4,2000-01-07,46.07690048217773,49.65370178222656,45.76449966430664,49.130401611328125,127220830,reliance
4,2000-01-07,97.35540008544922,100.5,93.36910247802734,96.54129791259766,6486225,tata
5,2000-01-10,49.57559967041016,49.77859878540039,47.68569946289063,48.18550109863281,85900614,reliance
5,2000-01-10,97.66419982910156,103.81199645996094,97.66419982910156,102.3239974975586,8267973,tata
6,2000-01-11,48.09960174560547,48.56809997558594,44.33530044555664,45.06159973144531,80313065,reliance
6,2000-01-11,100.5,101.06099700927734,94.15519714355467,94.15519714355467,3038504,tata
7,2000-01-12,45.13970184326172,47.63880157470703,44.069801330566406,47.1234016418457,77529229,reliance
7,2000-01-12,92.63929748535156,96.56939697265624,89.35479736328125,92.80770111083984,4163751,tata
8,2000-01-13,47.79499816894531,49.41939926147461,47.49819946289063,48.70869827270508,109326695,reliance
8,2000-01-13,94.26750183105467,95.44650268554688,87.61430358886719,89.38289642333984,2822696,tata
9,2000-01-14,90.39350128173828,90.8988037109375,87.58619689941406,89.10209655761719,2745981,tata
9,2000-01-14,48.34170150756836,50.23939895629883,48.34170150756836,49.40380096435547,86179340,reliance
10,2000-01-17,92.61119842529295,96.23249816894533,91.57250213623048,93.64990234375,5924427,tata
10,2000-01-17,49.70840072631836,50.43470001220703,47.95899963378906,48.2244987487793,68691901,reliance
11,2000-01-18,48.26359939575195,49.81769943237305,47.724700927734375,49.075801849365234,64556890,reliance
11,2000-01-18,93.70600128173828,98.81520080566406,91.65670013427734,97.0186004638672,6263829,tata
12,2000-01-19,99.37670135498048,99.93810272216795,96.00800323486328,97.04660034179688,4661261,tata
12,2000-01-19,50.42679977416992,50.74700164794922,49.38819885253906,49.9192008972168,73507821,reliance
13,2000-01-20,96.00800323486328,100.5,90.2249984741211,91.57250213623048,14707720,tata
13,2000-01-20,49.9817008972168,50.74700164794922,48.50569915771485,48.86489868164063,98779915,reliance
14,2000-01-21,48.84149932861328,51.293701171875,48.732200622558594,50.9734992980957,109717430,reliance
14,2000-01-21,91.347900390625,92.4989013671875,89.32669830322266,91.17949676513672,4978076,tata
15,2000-01-24,50.84080123901367,51.83259963989258,50.29410171508789,50.94229888916016,84275981,reliance
15,2000-01-24,92.02169799804688,92.02169799804688,84.21749877929688,84.86319732666016,4357483,tata
16,2000-01-25,50.77050018310547,50.80950164794922,49.70840072631836,49.973899841308594,62441735,reliance
16,2000-01-25,84.21749877929688,86.46330261230469,82.533203125,83.34729766845703,5397198,tata
17,2000-01-27,51.38740158081055,52.6057014465332,50.40340042114258,52.31679916381836,96128353,reliance
17,2000-01-27,85.00350189208984,86.18260192871094,82.81390380859375,83.26300048828125,2611705,tata
18,2000-01-28,52.4651985168457,53.40230178833008,51.79349899291992,52.847801208496094,75126718,reliance
18,2000-01-28,83.09459686279297,84.77899932861328,80.42769622802734,81.12950134277344,3556206,tata
19,2000-01-31,80.34349822998047,80.84880065917969,77.81700134277344,78.23809814453125,2260725,tata
19,2000-01-31,52.23870086669922,52.48080062866211,51.00479888916016,51.25469970703125,65248407,reliance
20,2000-02-01,78.09770202636719,80.118896484375,77.81700134277344,78.88369750976562,3113599,tata
20,2000-02-01,51.66859817504883,52.707298278808594,51.231201171875,52.17620086669922,68555045,reliance
21,2000-02-02,53.55849838256836,54.18330001831055,52.87910079956055,53.12900161743164,63708752,reliance
21,2000-02-02,80.6803970336914,81.55059814453125,78.60299682617188,79.19249725341797,2451768,tata
22,2000-02-03,53.41790008544922,53.65219879150391,52.54330062866211,53.36330032348633,43353645,reliance
22,2000-02-03,79.6697998046875,82.08399963378906,78.35030364990234,78.60299682617188,5833265,tata
23,2000-02-04,79.6697998046875,79.72589874267578,78.0416030883789,78.65910339355469,2946675,tata
23,2000-02-04,53.73030090332031,54.25360107421875,53.37110137939453,53.753700256347656,45500883,reliance
24,2000-02-07,53.27740097045898,54.58160018920898,52.80099868774414,53.66780090332031,52458508,reliance
24,2000-02-07,78.60299682617188,79.0802001953125,77.62049865722656,78.0416030883789,1655967,tata
25,2000-02-08,53.964599609375,54.18330001831055,53.26959991455078,53.48040008544922,41171304,reliance
25,2000-02-08,77.76080322265625,80.56809997558594,77.53620147705078,79.22059631347656,4768661,tata
26,2000-02-09,81.63480377197266,84.35790252685547,80.34349822998047,81.07340240478516,5072022,tata
26,2000-02-09,54.51129913330078,55.393798828125,53.85530090332031,54.72999954223633,73222462,reliance
27,2000-02-10,54.47999954223633,56.822898864746094,53.87089920043945,55.56560134887695,69097803,reliance
27,2000-02-10,81.69100189208984,81.69100189208984,79.22059631347656,79.6417007446289,1948303,tata
28,2000-02-11,56.85419845581055,58.41609954833984,56.23720169067383,56.74480056762695,52215130,reliance
28,2000-02-11,80.73650360107422,80.8207015991211,78.46260070800781,78.71530151367188,2047899,tata
29,2000-02-14,56.07320022583008,56.369998931884766,54.66749954223633,54.99549865722656,32827372,reliance
29,2000-02-14,78.0416030883789,78.88369750976562,74.1395034790039,75.59929656982422,1804844,tata
30,2000-02-15,54.97990036010742,55.35469818115234,53.42580032348633,53.78499984741211,52014800,reliance
30,2000-02-15,74.95359802246094,76.918701171875,73.12889862060547,73.97100067138672,3239314,tata
31,2000-02-16,76.24490356445312,77.4801025390625,75.51499938964844,75.99230194091797,1432038,tata
31,2000-02-16,54.66749954223633,55.26100158691406,53.58969879150391,54.37850189208984,50427371,reliance
